county,todays date,hospitalized covid confirmed patients,hospitalized suspected covid patients,hospitalized covid patients,all hospital beds,icu covid confirmed patients,icu suspected covid patients,icu available beds
Del Norte,8/1/2020,0,0,0,52,0,0,3
San Luis Obispo,8/1/2020,13,5,18,463,4,0,20
Ventura,8/1/2020,83,42,125,1310,23,8,45
Contra Costa,8/1/2020,100,48,148,1451,37,6,52
Amador,8/1/2020,6,0,6,51,2,0,0
Kern,8/2/2020,321,12,333,1292,72,4,35
San Bernardino,8/2/2020,575,67,642,3899,193,5,116
Kings,8/2/2020,73,1,74,199,8,1,3
Tulare,8/2/2020,101,7,108,714,14,0,3
Yolo,8/2/2020,8,0,8,96,4,0,4
Solano,8/2/2020,50,11,61,562,18,0,6
Sutter,8/2/2020,0,0,0,0,0,0,0
Placer,8/2/2020,57,39,96,732,11,2,29
Tehama,8/2/2020,0,0,0,59,0,0,5
San Mateo,8/2/2020,55,12,67,683,19,2,23
Amador,8/2/2020,12,0,12,51,4,0,0
Mono,8/2/2020,1,0,1,17,0,0,2
Colusa,8/2/2020,1,0,1,48,0,0,0
San Diego,8/2/2020,305,70,375,6123,113,10,304
Nevada,8/2/2020,0,0,0,29,0,0,4
Yuba,8/2/2020,23,0,23,265,6,0,10
San Luis Obispo,8/2/2020,13,3,16,452,5,0,21
Tuolumne,8/2/2020,2,0,2,84,0,0,1
Marin,8/2/2020,26,3,29,320,6,0,8
Del Norte,8/2/2020,0,0,0,52,0,0,4
Orange,8/2/2020,555,50,605,5723,175,8,316
Santa Barbara,8/2/2020,88,6,94,666,25,0,48
Lassen,8/2/2020,0,1,1,25,0,0,0
Lake,8/2/2020,2,0,2,65,0,0,3
San Francisco,8/2/2020,98,11,109,1992,35,3,51
Monterey,8/2/2020,44,3,47,757,16,0,15
Trinity,8/2/2020,0,0,0,25,0,0,0
Merced,8/2/2020,52,3,55,253,11,1,8
Los Angeles,8/2/2020,1757,506,2263,19088,545,55,952
Calaveras,8/2/2020,0,0,0,50,0,0,8
San Joaquin,8/2/2020,213,45,258,922,65,1,21
Modoc,8/2/2020,0,0,0,41,0,0,0
San Benito,8/2/2020,3,0,3,25,0,0,0
Madera,8/2/2020,48,7,55,274,15,0,3
Mariposa,8/2/2020,0,0,0,19,0,0,0
Shasta,8/2/2020,8,0,8,561,3,0,4
El Dorado,8/2/2020,2,0,2,189,2,0,5
Fresno,8/2/2020,295,33,328,1527,61,6,18
Ventura,8/2/2020,82,37,119,1314,18,7,44
Humboldt,8/2/2020,0,4,4,258,0,1,4
Imperial,8/2/2020,53,0,53,261,21,0,2
Butte,8/2/2020,27,1,28,451,8,0,10
Plumas,8/2/2020,0,0,0,51,0,0,0
Glenn,8/2/2020,0,2,2,47,0,0,0
Stanislaus,8/2/2020,205,47,252,1230,49,4,25
Riverside,8/2/2020,425,87,512,3237,133,20,95
Siskiyou,8/2/2020,1,2,3,25,1,0,0
Santa Clara,8/2/2020,185,36,221,3225,57,4,93
Sacramento,8/2/2020,262,33,295,2319,83,8,91
Sonoma,8/2/2020,42,17,59,479,14,2,6
Inyo,8/2/2020,3,0,3,29,0,0,4
Alameda,8/2/2020,194,42,236,2434,55,9,91
Contra Costa,8/2/2020,101,39,140,1442,38,7,60
Napa,8/2/2020,7,0,7,359,3,0,19
Mendocino,8/2/2020,12,0,12,150,0,0,9
Santa Cruz,8/2/2020,12,9,21,276,3,0,12
Kern,8/3/2020,222,24,246,1392,80,7,43
Colusa,8/3/2020,1,0,1,48,0,0,0
Tehama,8/3/2020,0,0,0,59,0,0,5
Shasta,8/3/2020,7,0,7,434,3,0,8
Stanislaus,8/3/2020,215,43,258,1212,48,4,38
Santa Clara,8/3/2020,171,31,202,3201,52,2,110
Humboldt,8/3/2020,0,2,2,264,0,0,7
Lake,8/3/2020,0,0,0,65,0,0,8
Amador,8/3/2020,10,1,11,51,4,0,0
Inyo,8/3/2020,3,0,3,29,0,0,4
Marin,8/3/2020,23,5,28,313,5,1,12
San Bernardino,8/3/2020,561,76,637,3822,188,10,126
Los Angeles,8/3/2020,1768,541,2309,19242,537,68,915
Yolo,8/3/2020,7,0,7,96,6,0,4
San Diego,8/3/2020,294,67,361,6136,103,14,323
Riverside,8/3/2020,450,93,543,3278,133,19,88
Madera,8/3/2020,46,14,60,274,13,0,2
Napa,8/3/2020,9,7,16,359,3,0,22
Tuolumne,8/3/2020,2,1,3,84,0,0,1
San Joaquin,8/3/2020,222,31,253,1020,67,5,22
Mendocino,8/3/2020,10,0,10,150,0,0,11
Yuba,8/3/2020,21,0,21,265,5,0,13
Merced,8/3/2020,56,2,58,253,14,0,5
Santa Cruz,8/3/2020,15,11,26,276,3,3,11
Sutter,8/3/2020,0,0,0,0,0,0,0
Siskiyou,8/3/2020,1,0,1,56,1,0,5
Orange,8/3/2020,539,66,605,5814,167,12,306
Imperial,8/3/2020,56,0,56,261,25,0,2
San Mateo,8/3/2020,58,15,73,682,14,3,26
Sacramento,8/3/2020,274,34,308,2452,87,3,90
El Dorado,8/3/2020,3,0,3,189,1,0,12
Placer,8/3/2020,62,28,90,733,14,5,28
Solano,8/3/2020,44,12,56,553,17,1,6
Modoc,8/3/2020,0,0,0,41,0,0,0
Contra Costa,8/3/2020,99,40,139,1410,42,12,53
San Luis Obispo,8/3/2020,11,1,12,477,4,0,21
Mono,8/3/2020,0,0,0,17,0,0,2
Sonoma,8/3/2020,41,17,58,480,13,1,7
Mariposa,8/3/2020,0,0,0,19,0,0,0
Alameda,8/3/2020,193,49,242,2334,55,6,84
Nevada,8/3/2020,0,2,2,109,0,1,9
Plumas,8/3/2020,0,0,0,51,0,0,0
Del Norte,8/3/2020,0,1,1,52,0,0,3
Lassen,8/3/2020,0,1,1,25,0,0,0
San Benito,8/3/2020,3,0,3,25,1,0,2
Tulare,8/3/2020,105,5,110,714,17,1,10
Trinity,8/3/2020,0,1,1,25,0,0,0
Calaveras,8/3/2020,0,0,0,33,0,0,8
Kings,8/3/2020,71,0,71,199,6,0,4
Fresno,8/3/2020,297,39,336,1538,59,3,19
San Francisco,8/3/2020,89,15,104,1709,34,2,123
Santa Barbara,8/3/2020,82,7,89,666,25,0,43
Ventura,8/3/2020,88,41,129,1306,19,7,45
Monterey,8/3/2020,47,3,50,757,19,0,11
Butte,8/3/2020,26,0,26,451,8,0,10
Glenn,8/3/2020,0,2,2,47,0,0,0
San Benito,8/4/2020,3,0,3,25,1,0,1
Imperial,8/4/2020,47,0,47,261,20,0,4
Trinity,8/4/2020,0,4,4,25,0,0,0
Siskiyou,8/4/2020,1,0,1,56,0,0,5
Plumas,8/4/2020,0,0,0,51,0,0,0
Tulare,8/4/2020,114,4,118,714,15,2,6
Mariposa,8/4/2020,0,0,0,19,0,0,0
Sonoma,8/4/2020,42,15,57,485,11,1,10
Nevada,8/4/2020,1,1,2,91,0,0,12
Mendocino,8/4/2020,12,0,12,150,0,0,8
Calaveras,8/4/2020,1,1,2,33,0,0,8
Kern,8/4/2020,212,21,233,1435,66,2,44
El Dorado,8/4/2020,2,1,3,189,0,0,11
San Luis Obispo,8/4/2020,12,4,16,477,4,1,23
Humboldt,8/4/2020,0,2,2,267,0,0,7
San Mateo,8/4/2020,54,12,66,692,12,2,27
Del Norte,8/4/2020,0,0,0,51,0,0,4
Inyo,8/4/2020,1,0,1,29,0,0,4
Sutter,8/4/2020,0,0,0,0,0,0,0
Lake,8/4/2020,0,1,1,65,0,0,4
Merced,8/4/2020,50,1,51,254,14,0,5
Glenn,8/4/2020,0,2,2,47,0,0,0
Modoc,8/4/2020,0,0,0,41,0,0,0
Napa,8/4/2020,9,1,10,359,3,0,21
Fresno,8/4/2020,295,41,336,1557,55,5,13
San Joaquin,8/4/2020,214,67,281,1014,54,10,21
Solano,8/4/2020,42,11,53,558,16,2,4
Monterey,8/4/2020,51,1,52,757,17,1,20
Sacramento,8/4/2020,262,48,310,2462,87,6,89
Los Angeles,8/4/2020,1741,556,2297,19053,508,57,887
San Diego,8/4/2020,311,93,404,6044,111,19,311
Mono,8/4/2020,0,0,0,17,0,0,1
Riverside,8/4/2020,411,100,511,3247,134,20,79
Amador,8/4/2020,10,0,10,51,3,0,1
Stanislaus,8/4/2020,219,52,271,1219,50,3,21
San Bernardino,8/4/2020,541,58,599,3810,174,6,131
Butte,8/4/2020,23,0,23,451,11,0,7
Santa Barbara,8/4/2020,81,3,84,666,25,0,42
Yolo,8/4/2020,5,1,6,96,5,0,8
San Francisco,8/4/2020,92,12,104,1772,33,1,69
Yuba,8/4/2020,22,0,22,265,5,0,10
Orange,8/4/2020,536,44,580,5762,172,7,309
Alameda,8/4/2020,196,54,250,2363,53,10,93
Santa Cruz,8/4/2020,12,9,21,276,6,1,12
Tuolumne,8/4/2020,3,0,3,84,0,0,0
Contra Costa,8/4/2020,95,41,136,1427,43,9,57
Colusa,8/4/2020,2,3,5,48,0,0,0
Santa Clara,8/4/2020,171,29,200,3230,53,1,104
Lassen,8/4/2020,0,0,0,25,0,0,0
Shasta,8/4/2020,5,0,5,437,3,0,3
Ventura,8/4/2020,81,29,110,1306,21,6,39
Placer,8/4/2020,65,38,103,731,15,4,25
Tehama,8/4/2020,0,0,0,59,0,0,7
Kings,8/4/2020,70,0,70,199,9,0,1
Madera,8/4/2020,46,3,49,274,14,1,2
Marin,8/4/2020,21,5,26,312,5,0,9
Alameda,8/5/2020,190,56,246,2414,49,7,98
Glenn,8/5/2020,0,2,2,47,0,0,0
Amador,8/5/2020,6,0,6,51,3,0,1
Santa Cruz,8/5/2020,12,6,18,276,3,0,9
Orange,8/5/2020,517,75,592,5991,171,8,319
Solano,8/5/2020,45,15,60,557,17,4,5
Colusa,8/5/2020,1,4,5,48,0,0,0
Tulare,8/5/2020,98,6,104,714,15,2,7
Kings,8/5/2020,73,1,74,193,9,1,8
Kern,8/5/2020,222,7,229,1279,76,0,72
Mendocino,8/5/2020,13,0,13,150,1,0,7
Nevada,8/5/2020,1,2,3,121,0,0,10
Siskiyou,8/5/2020,0,0,0,56,0,0,2
San Joaquin,8/5/2020,206,48,254,1012,65,23,21
Marin,8/5/2020,21,2,23,317,6,0,9
Contra Costa,8/5/2020,89,37,126,1437,40,7,47
Sutter,8/5/2020,0,0,0,0,0,0,0
San Francisco,8/5/2020,80,14,94,1848,30,0,76
Los Angeles,8/5/2020,1680,602,2282,19541,502,81,865
San Diego,8/5/2020,295,76,371,6159,100,12,314
Napa,8/5/2020,8,0,8,345,3,0,20
Santa Barbara,8/5/2020,84,0,84,666,29,0,39
Placer,8/5/2020,67,39,106,740,12,3,26
Butte,8/5/2020,26,3,29,451,10,0,5
San Bernardino,8/5/2020,541,76,617,3783,170,7,128
Trinity,8/5/2020,0,2,2,25,0,0,0
Humboldt,8/5/2020,0,1,1,261,0,0,7
Sacramento,8/5/2020,262,48,310,2474,88,5,79
Sonoma,8/5/2020,43,5,48,545,10,1,8
San Benito,8/5/2020,2,0,2,25,1,0,0
Mono,8/5/2020,1,0,1,17,0,0,1
Lake,8/5/2020,1,1,2,65,0,1,2
El Dorado,8/5/2020,2,1,3,189,1,1,4
San Mateo,8/5/2020,49,13,62,696,19,3,22
Fresno,8/5/2020,296,40,336,1574,56,4,14
Tehama,8/5/2020,0,0,0,59,0,0,3
Yolo,8/5/2020,10,0,10,96,7,0,4
Riverside,8/5/2020,415,93,508,3422,128,12,85
Plumas,8/5/2020,0,0,0,51,0,0,0
Madera,8/5/2020,45,5,50,274,13,0,1
Shasta,8/5/2020,7,0,7,440,3,0,33
Stanislaus,8/5/2020,223,57,280,1219,55,5,9
Merced,8/5/2020,51,0,51,254,13,0,5
San Luis Obispo,8/5/2020,12,5,17,477,5,1,21
Lassen,8/5/2020,0,0,0,25,0,0,0
Monterey,8/5/2020,52,1,53,691,17,1,22
Mariposa,8/5/2020,0,0,0,19,0,0,0
Calaveras,8/5/2020,1,3,4,33,0,3,8
Yuba,8/5/2020,25,0,25,265,5,0,8
Tuolumne,8/5/2020,2,1,3,84,0,0,1
Ventura,8/5/2020,79,38,117,1318,26,5,37
Modoc,8/5/2020,0,0,0,41,0,0,0
Del Norte,8/5/2020,0,0,0,51,0,0,3
Santa Clara,8/5/2020,168,31,199,3167,51,1,116
Inyo,8/5/2020,1,0,1,29,0,0,4
Imperial,8/5/2020,47,0,47,261,19,0,4
Kings,8/6/2020,73,0,73,193,8,0,10
Monterey,8/6/2020,51,1,52,710,18,1,19
Amador,8/6/2020,8,0,8,51,3,0,1
Kern,8/6/2020,217,12,229,1297,72,0,45
Siskiyou,8/6/2020,0,1,1,56,0,1,2
Shasta,8/6/2020,7,0,7,422,2,0,8
Santa Cruz,8/6/2020,12,13,25,276,3,2,11
Plumas,8/6/2020,0,0,0,35,0,0,0
Napa,8/6/2020,8,1,9,359,4,1,20
Placer,8/6/2020,63,36,99,740,10,1,31
Solano,8/6/2020,40,15,55,561,16,2,6
Lake,8/6/2020,1,1,2,65,0,1,1
Del Norte,8/6/2020,0,5,5,51,0,2,3
Nevada,8/6/2020,2,0,2,105,0,0,3
Sutter,8/6/2020,0,0,0,0,0,0,0
Fresno,8/6/2020,292,43,335,1579,55,6,17
Sonoma,8/6/2020,37,14,51,515,10,2,6
Yolo,8/6/2020,10,0,10,96,7,0,4
Ventura,8/6/2020,81,33,114,1314,23,8,37
Butte,8/6/2020,23,1,24,451,8,0,6
San Francisco,8/6/2020,85,9,94,1820,31,1,60
Santa Barbara,8/6/2020,82,6,88,666,27,2,39
Imperial,8/6/2020,49,0,49,261,17,0,5
Madera,8/6/2020,46,4,50,274,9,0,6
Mariposa,8/6/2020,0,0,0,19,0,0,0
Orange,8/6/2020,511,47,558,5980,177,6,306
Tehama,8/6/2020,2,0,2,59,1,0,2
Contra Costa,8/6/2020,98,35,133,1435,43,3,46
Yuba,8/6/2020,28,0,28,265,7,0,8
Colusa,8/6/2020,3,2,5,48,0,0,0
Glenn,8/6/2020,0,2,2,47,0,0,0
San Benito,8/6/2020,2,1,3,25,1,0,1
Tuolumne,8/6/2020,2,2,4,84,0,1,1
Merced,8/6/2020,55,3,58,254,15,1,3
Santa Clara,8/6/2020,175,21,196,3072,53,2,101
Marin,8/6/2020,24,3,27,309,6,0,8
San Joaquin,8/6/2020,196,26,222,1011,63,6,17
San Diego,8/6/2020,283,59,342,6023,95,12,295
Calaveras,8/6/2020,2,1,3,33,2,0,5
Modoc,8/6/2020,0,0,0,41,0,0,0
Riverside,8/6/2020,409,106,515,3391,125,14,87
Alameda,8/6/2020,175,50,225,2407,52,7,98
Mendocino,8/6/2020,14,0,14,150,2,0,5
Sacramento,8/6/2020,250,59,309,2464,81,10,93
San Luis Obispo,8/6/2020,11,3,14,451,4,0,21
El Dorado,8/6/2020,3,0,3,189,1,0,6
Tulare,8/6/2020,98,3,101,714,11,1,10
Mono,8/6/2020,1,0,1,17,1,0,0
Los Angeles,8/6/2020,1610,581,2191,19413,499,73,836
Inyo,8/6/2020,1,0,1,29,0,0,4
Lassen,8/6/2020,0,0,0,25,0,0,0
San Bernardino,8/6/2020,530,71,601,3791,169,6,123
Trinity,8/6/2020,0,0,0,25,0,0,0
Stanislaus,8/6/2020,216,58,274,1243,51,7,10
San Mateo,8/6/2020,45,16,61,685,16,1,31
Humboldt,8/6/2020,1,1,2,260,0,0,7
Kern,8/7/2020,214,15,229,1300,87,0,43
Santa Barbara,8/7/2020,80,6,86,666,29,1,40
Amador,8/7/2020,7,0,7,51,3,0,2
Calaveras,8/7/2020,2,0,2,33,2,0,4
Del Norte,8/7/2020,1,4,5,52,0,2,2
San Joaquin,8/7/2020,171,14,185,1022,73,0,13
Los Angeles,8/7/2020,1568,478,2046,18941,519,64,814
Glenn,8/7/2020,0,2,2,47,0,0,0
San Mateo,8/7/2020,42,16,58,695,12,2,27
Sonoma,8/7/2020,36,2,38,532,10,1,7
San Benito,8/7/2020,2,0,2,25,1,0,3
Fresno,8/7/2020,279,45,324,1555,57,3,8
Sacramento,8/7/2020,259,74,333,2456,84,13,84
Yuba,8/7/2020,30,0,30,265,24,0,9
Sutter,8/7/2020,0,0,0,0,0,0,0
San Diego,8/7/2020,279,67,346,6017,91,19,301
Placer,8/7/2020,63,39,102,733,12,0,26
Monterey,8/7/2020,48,3,51,710,20,0,22
Alameda,8/7/2020,167,47,214,2393,51,9,87
Mendocino,8/7/2020,17,0,17,150,9,0,7
Merced,8/7/2020,59,0,59,253,15,0,0
Santa Cruz,8/7/2020,13,5,18,276,4,0,12
Siskiyou,8/7/2020,0,1,1,56,0,1,4
Orange,8/7/2020,491,51,542,5706,167,8,247
Contra Costa,8/7/2020,99,28,127,1430,42,4,45
Mono,8/7/2020,1,0,1,17,1,0,1
Humboldt,8/7/2020,1,6,7,260,0,2,8
Lake,8/7/2020,4,0,4,65,4,0,2
Butte,8/7/2020,20,0,20,451,8,0,9
Ventura,8/7/2020,82,22,104,1314,32,6,36
Imperial,8/7/2020,48,0,48,261,16,0,6
Napa,8/7/2020,7,3,10,359,4,3,17
Tulare,8/7/2020,102,3,105,714,16,1,16
El Dorado,8/7/2020,3,0,3,189,2,0,9
Yolo,8/7/2020,6,0,6,96,5,0,6
Trinity,8/7/2020,0,0,0,25,0,0,0
Marin,8/7/2020,24,2,26,313,5,0,8
Tuolumne,8/7/2020,6,4,10,84,6,3,2
Kings,8/7/2020,71,0,71,193,18,0,9
Inyo,8/7/2020,2,0,2,29,0,0,4
Stanislaus,8/7/2020,211,44,255,1249,48,3,22
San Luis Obispo,8/7/2020,12,4,16,451,3,0,21
Tehama,8/7/2020,2,0,2,59,2,0,2
San Francisco,8/7/2020,79,11,90,1832,30,0,54
Solano,8/7/2020,39,18,57,552,16,1,7
Nevada,8/7/2020,2,0,2,113,0,0,8
San Bernardino,8/7/2020,493,60,553,3786,157,8,136
Modoc,8/7/2020,0,0,0,41,0,0,0
Shasta,8/7/2020,6,0,6,427,1,0,8
Colusa,8/7/2020,5,2,7,48,0,0,0
Riverside,8/7/2020,382,105,487,3419,118,14,99
Lassen,8/7/2020,0,0,0,25,0,0,0
Madera,8/7/2020,41,9,50,274,9,0,6
Santa Clara,8/7/2020,170,20,190,3047,55,2,99
Plumas,8/7/2020,0,0,0,35,0,0,0
Mariposa,8/7/2020,0,0,0,19,0,0,0
Riverside,8/8/2020,373,77,450,3316,114,13,108
Mariposa,8/8/2020,1,0,1,19,0,0,0
Placer,8/8/2020,66,27,93,737,13,1,28
Tehama,8/8/2020,2,0,2,59,2,0,4
Kern,8/8/2020,219,14,233,1292,74,0,35
Shasta,8/8/2020,4,0,4,427,1,0,6
Mono,8/8/2020,1,0,1,17,1,0,1
Plumas,8/8/2020,0,0,0,35,0,0,0
Monterey,8/8/2020,48,0,48,710,21,0,20
Colusa,8/8/2020,6,2,8,48,0,0,0
Los Angeles,8/8/2020,1514,513,2027,19208,476,66,820
San Benito,8/8/2020,3,0,3,25,1,0,3
Lassen,8/8/2020,0,0,0,25,0,0,0
Siskiyou,8/8/2020,0,1,1,56,0,1,4
Tulare,8/8/2020,94,1,95,714,11,0,16
El Dorado,8/8/2020,4,1,5,189,3,1,5
Sutter,8/8/2020,0,0,0,0,0,0,0
Inyo,8/8/2020,1,0,1,29,0,0,4
Mendocino,8/8/2020,13,0,13,150,1,0,7
Kings,8/8/2020,63,0,63,193,7,0,12
Stanislaus,8/8/2020,200,45,245,1248,48,2,19
San Diego,8/8/2020,267,56,323,6149,90,11,324
Glenn,8/8/2020,0,2,2,47,0,0,0
Santa Barbara,8/8/2020,84,8,92,666,31,0,41
Yolo,8/8/2020,8,0,8,96,5,0,2
Marin,8/8/2020,19,0,19,319,6,0,8
Butte,8/8/2020,23,0,23,451,7,0,12
Imperial,8/8/2020,48,0,48,261,14,0,8
Madera,8/8/2020,46,19,65,274,9,0,4
Napa,8/8/2020,6,0,6,359,2,0,19
San Mateo,8/8/2020,45,16,61,683,12,3,30
Modoc,8/8/2020,0,0,0,41,0,0,0
Ventura,8/8/2020,78,27,105,1318,21,9,43
Nevada,8/8/2020,3,0,3,103,0,0,4
Amador,8/8/2020,8,0,8,51,2,0,1
Calaveras,8/8/2020,2,1,3,33,2,1,5
Alameda,8/8/2020,163,45,208,2376,58,6,92
Tuolumne,8/8/2020,1,3,4,84,0,2,0
Lake,8/8/2020,0,1,1,66,0,1,3
Contra Costa,8/8/2020,98,21,119,1434,38,4,44
Sonoma,8/8/2020,36,13,49,547,10,2,7
Merced,8/8/2020,57,0,57,253,13,0,4
San Bernardino,8/8/2020,485,69,554,3755,153,8,137
San Joaquin,8/8/2020,167,11,178,1016,64,1,21
Humboldt,8/8/2020,1,5,6,260,0,2,5
Del Norte,8/8/2020,1,1,2,52,1,0,0
Sacramento,8/8/2020,263,62,325,2435,87,6,96
Solano,8/8/2020,37,20,57,553,16,1,4
Fresno,8/8/2020,287,40,327,1563,54,0,13
San Francisco,8/8/2020,77,11,88,1800,29,2,63
Trinity,8/8/2020,0,0,0,25,0,0,0
Santa Cruz,8/8/2020,13,7,20,276,3,0,12
Orange,8/8/2020,487,63,550,5660,163,11,333
Yuba,8/8/2020,26,0,26,265,7,0,9
San Luis Obispo,8/8/2020,12,4,16,451,4,0,19
Santa Clara,8/8/2020,176,27,203,3040,57,6,109
Amador,8/9/2020,8,1,9,51,3,0,2
San Francisco,8/9/2020,82,16,98,1740,31,2,70
Sutter,8/9/2020,0,0,0,0,0,0,0
Lake,8/9/2020,0,2,2,65,0,1,2
Los Angeles,8/9/2020,1524,468,1992,19199,490,59,819
Humboldt,8/9/2020,1,6,7,256,0,3,5
Mendocino,8/9/2020,14,0,14,150,1,0,6
Alameda,8/9/2020,169,45,214,2340,55,2,92
El Dorado,8/9/2020,3,0,3,189,2,0,8
Santa Cruz,8/9/2020,13,10,23,276,4,2,12
Imperial,8/9/2020,44,4,48,261,14,1,7
Butte,8/9/2020,20,1,21,451,7,1,11
San Mateo,8/9/2020,39,17,56,682,12,2,29
Mariposa,8/9/2020,1,0,1,19,0,0,0
Riverside,8/9/2020,359,95,454,3300,112,10,123
Tuolumne,8/9/2020,0,0,0,84,0,0,0
Colusa,8/9/2020,6,1,7,48,0,0,0
Modoc,8/9/2020,0,0,0,41,0,0,0
Glenn,8/9/2020,0,2,2,47,0,0,0
Siskiyou,8/9/2020,0,1,1,56,0,1,5
Santa Barbara,8/9/2020,77,5,82,666,31,0,41
Placer,8/9/2020,65,25,90,727,13,3,27
Napa,8/9/2020,8,2,10,359,5,0,19
Shasta,8/9/2020,4,0,4,427,1,0,5
Yuba,8/9/2020,27,1,28,265,7,0,9
Mono,8/9/2020,1,0,1,17,0,0,2
Plumas,8/9/2020,0,0,0,35,0,0,0
Calaveras,8/9/2020,2,2,4,33,2,1,5
San Luis Obispo,8/9/2020,17,4,21,451,6,0,20
San Joaquin,8/9/2020,176,12,188,1017,65,2,15
Trinity,8/9/2020,0,0,0,25,0,0,0
Tulare,8/9/2020,86,3,89,714,11,0,19
Del Norte,8/9/2020,1,0,1,51,1,0,0
Marin,8/9/2020,16,1,17,321,5,0,10
Merced,8/9/2020,52,0,52,253,13,0,7
San Benito,8/9/2020,4,0,4,25,1,0,3
Monterey,8/9/2020,45,4,49,710,18,0,16
Contra Costa,8/9/2020,104,37,141,1429,39,4,46
Fresno,8/9/2020,286,29,315,1547,53,0,13
San Bernardino,8/9/2020,486,67,553,3742,152,6,155
Santa Clara,8/9/2020,184,27,211,3042,57,4,116
Stanislaus,8/9/2020,191,35,226,1244,49,2,21
Solano,8/9/2020,42,15,57,546,19,2,4
Tehama,8/9/2020,2,0,2,59,2,0,2
Madera,8/9/2020,46,8,54,274,8,3,7
Kings,8/9/2020,59,0,59,193,5,0,12
Sonoma,8/9/2020,36,8,44,552,10,2,8
Nevada,8/9/2020,3,0,3,89,0,0,4
Yolo,8/9/2020,9,0,9,96,4,0,4
San Diego,8/9/2020,265,59,324,6135,92,12,346
Lassen,8/9/2020,0,0,0,25,0,0,0
Inyo,8/9/2020,1,1,2,29,0,0,4
Kern,8/9/2020,212,17,229,1282,72,0,37
Orange,8/9/2020,468,53,521,5631,152,10,255
Ventura,8/9/2020,77,25,102,1318,21,6,47
Sacramento,8/9/2020,261,65,326,2443,82,11,104
Humboldt,8/10/2020,2,6,8,263,0,2,4
Lassen,8/10/2020,0,0,0,25,0,0,0
Amador,8/10/2020,7,1,8,51,2,0,2
Nevada,8/10/2020,4,1,5,89,1,0,5
El Dorado,8/10/2020,4,0,4,189,4,0,6
Stanislaus,8/10/2020,205,65,270,1249,55,5,19
Mariposa,8/10/2020,0,0,0,19,0,0,0
Colusa,8/10/2020,5,2,7,48,0,0,0
Fresno,8/10/2020,273,37,310,1555,58,1,10
Mono,8/10/2020,1,0,1,17,1,0,1
Siskiyou,8/10/2020,0,1,1,56,0,0,6
Calaveras,8/10/2020,3,1,4,33,2,1,5
Kings,8/10/2020,58,0,58,193,4,0,13
Monterey,8/10/2020,44,5,49,710,18,0,18
Mendocino,8/10/2020,15,0,15,150,2,0,8
Santa Barbara,8/10/2020,79,8,87,666,31,1,46
San Francisco,8/10/2020,84,12,96,1747,28,4,76
San Joaquin,8/10/2020,171,7,178,1013,62,1,19
Santa Clara,8/10/2020,187,18,205,3034,56,2,118
Santa Cruz,8/10/2020,14,7,21,276,5,1,12
Sonoma,8/10/2020,35,8,43,493,10,3,3
Glenn,8/10/2020,0,2,2,47,0,0,0
Contra Costa,8/10/2020,99,30,129,1427,36,4,50
Plumas,8/10/2020,0,0,0,35,0,0,0
Orange,8/10/2020,441,71,512,5632,141,13,272
San Luis Obispo,8/10/2020,19,3,22,451,4,0,21
Sacramento,8/10/2020,265,48,313,2466,81,8,93
Shasta,8/10/2020,3,0,3,427,1,0,9
Yolo,8/10/2020,8,0,8,96,5,0,4
Yuba,8/10/2020,24,1,25,265,7,0,8
Inyo,8/10/2020,2,2,4,29,0,0,3
Riverside,8/10/2020,358,92,450,3318,112,8,110
Modoc,8/10/2020,0,0,0,41,0,0,0
Marin,8/10/2020,18,2,20,319,3,1,10
Placer,8/10/2020,65,34,99,736,13,4,29
Kern,8/10/2020,202,24,226,1280,71,2,35
San Mateo,8/10/2020,41,19,60,671,10,2,30
Lake,8/10/2020,0,2,2,65,0,0,6
Butte,8/10/2020,19,0,19,451,8,0,4
Sutter,8/10/2020,0,0,0,0,0,0,0
San Bernardino,8/10/2020,468,81,549,3769,152,8,149
Trinity,8/10/2020,0,0,0,25,0,0,0
Tehama,8/10/2020,2,0,2,59,2,0,1
San Benito,8/10/2020,6,0,6,25,1,0,3
Solano,8/10/2020,38,15,53,528,18,2,5
Tulare,8/10/2020,98,7,105,714,11,1,17
San Diego,8/10/2020,262,62,324,6132,95,18,345
Imperial,8/10/2020,39,0,39,261,13,1,7
Alameda,8/10/2020,166,38,204,2330,56,2,90
Del Norte,8/10/2020,1,1,2,51,1,0,2
Tuolumne,8/10/2020,1,0,1,84,0,0,0
Los Angeles,8/10/2020,1538,446,1984,19164,493,58,850
Madera,8/10/2020,38,15,53,274,9,3,5
Ventura,8/10/2020,79,33,112,1302,23,4,45
Merced,8/10/2020,50,1,51,253,15,0,3
Napa,8/10/2020,8,2,10,359,5,0,18
Alameda,8/11/2020,170,53,223,2362,59,7,90
Mendocino,8/11/2020,14,0,14,150,3,0,6
Santa Barbara,8/11/2020,75,14,89,666,26,5,40
San Benito,8/11/2020,5,0,5,25,1,0,1
San Bernardino,8/11/2020,472,56,528,3903,162,11,139
Amador,8/11/2020,7,2,9,51,2,0,1
Lake,8/11/2020,0,2,2,65,0,0,6
Solano,8/11/2020,41,11,52,552,16,2,5
Los Angeles,8/11/2020,1481,470,1951,19342,481,66,871
Napa,8/11/2020,8,0,8,359,4,0,19
Placer,8/11/2020,67,24,91,741,14,3,31
Marin,8/11/2020,14,0,14,321,4,0,11
